NÉV,dh01,dh02,dh03,dh04,dh05,dh06,dh07,dh08,dh09,dh10,dh11,dh12,dh13,dh14,dh15,dh16,dh17,dh18,dh19,dh20,dh21,dh22,dh23,dh24,dh25,dh26,dh27,dh28,dh29,dh30,dh31,dh32,dh33,dh34,dh35,dh36,dh37,dh38,dh39,dh40,dh41,dh42,dh43,dh44
mst01,5,5,2,3,2,3,4,2,2,5,0,0,3,5,5,1,2,1,1,1,3,2,0,0,1,0,3,2,3,0,4,3,0,4,0,5,1,3,2,0,4,0,3,3
mst02,1,5,2,4,1,3,0,3,1,1,0,2,5,0,0,3,5,3,0,1,4,5,4,1,1,2,2,2,2,4,0,0,2,2,1,0,3,4,5,3,2,3,5,1
mst03,1,1,1,5,2,2,5,3,2,2,0,2,3,5,2,3,4,0,1,0,2,3,0,4,5,2,0,1,0,1,5,2,5,1,2,5,2,1,1,4,3,0,2,3
mst04,3,4,1,1,0,4,3,5,0,2,3,0,5,4,0,0,5,5,1,3,5,4,5,4,5,0,3,3,1,2,2,2,2,0,3,3,5,0,1,4,5,3,3,3
mst05,2,1,3,1,1,5,2,0,0,2,2,2,0,5,4,1,1,0,4,3,2,4,5,1,1,4,4,2,2,2,5,3,2,5,0,0,2,1,2,1,3,1,5,1
mst06,2,0,2,2,1,5,4,0,0,1,4,4,4,5,1,5,4,1,1,0,5,4,2,3,0,5,2,0,0,5,3,2,4,2,5,2,1,4,5,0,2,2,5,0
mst07,1,2,0,3,1,1,3,2,1,2,5,2,2,2,2,1,4,2,0,5,4,1,3,2,4,5,0,2,3,0,1,5,4,2,4,2,2,2,3,5,2,1,5,4
mst08,2,4,1,4,3,5,4,5,4,5,2,4,4,2,3,5,5,1,0,2,4,4,4,1,1,4,0,4,4,4,3,2,3,2,0,1,1,5,1,3,1,4,5,0
mst09,2,3,2,0,5,1,0,4,1,1,2,4,0,2,3,0,1,4,1,4,0,0,1,2,5,2,3,1,3,2,1,0,3,0,3,5,4,0,0,1,3,5,4,5
mst10,1,5,3,0,5,4,1,0,5,5,1,2,0,1,1,0,4,1,3,5,3,0,0,1,4,4,1,1,0,4,1,0,3,5,1,1,4,1,4,3,0,2,1,2
